actual_title,predicted_title,BLEU,ROUGE-L,METEOR,BERTScore
باوجود افزایش تعداد طلاق‌ها، آمار طلاق در 10 سال گذشته در ایران تقریبا ثابت بوده است,حافظه تاریخی آمار طلاق در ایران نشان می‌دهد که این رقم در دهه 90 تقریباً ثابت بوده است و در سال‌های اخیر نیز تغییر چندانی نکرده است.,0.12017396628208415,0.33333333333333337,0.4131433823529412,0.7413565516471863
سیده زهرا برقعی اولین زن در سطوح مدیریتی حوزه است.,«حوزه علمیه در سطوح مدیریتی رده بالای خود به حضور زنان در مدیریت به طور گسترده‌ای رسیده است.,0.15553986407412193,0.26666666666666666,0.31525423728813556,0.7636793851852417
طبق نظر آیات عظام شبیری، سبحانی، مکارم، صانعی و صافی ضبط فیلم از افراد بدون اجازه آن‌ها حرام است,آیت الله‌های دینی فتوا دادند که ضبط فیلم از افراد بدون اجازه آن‌ها حرام شرعی است.,0.23720648375004477,0.46153846153846156,0.41630778064886587,0.7636204957962036
امارات سالیانه ۲.۵ میلیون لیتر آب آشامیدنی از هوا تولید می‌کند,شرکت اماراتی A1RWATER در ابوظبی با استفاده از فناوری هیدروپنل حدود 43 میلیون لیتر آب آشامیدنی را در سال تولید می‌کند.,0.1937412862978337,0.32432432432432434,0.47691416992328844,0.7802994251251221
یک‌سوم زندانیان زن جهان در امریکا هستند و از سال 2015 تا سال 2020 دست‌کم 250 زن با شلیک پلیس آمریکا کشته شده‌اند,یک‌سوم زندانیان زن جهان در آمریکا زندانی هستند و از سال ۲۰۱۵ تا ۲۰۲۰ حداقل ۲۵۰ زن توسط پلیس آمریکا به قتل رسیدند,0.44536772636240785,0.6956521739130435,0.6665251358695652,0.9114243984222412
اکثر آمریکایی‌ها مخالف نامزدی بایدن و ترامپ در انتخابات ریاست­ جمهوری ۲۰۲۴ هستند,بیشتر آمریکایی‌ها مخالف نامزدی مجدد جو بایدن و دونالد ترامپ در انتخابات ۲۰۲۴ هستند,0.45477224609819267,0.7407407407407408,0.7389312977099237,0.9073110818862915
تجارت چین با امارات، ۶ برابر تجارت چین با ایران است,تجارت چین با امارات، ۶ برابر تجارت چین با ایران در نیمه اول سال ۲۰۲۳ بوده است.,0.5203412353479888,0.7333333333333334,0.8726879181424636,0.8961226940155029
چین، سومین شریک تجاری آمریکا است و سهم بیشتری از اتحادیه اروپا در تجارت با این کشور دارد,چین سومین شریک تجاری آمریکا پس از مکزیک و کانادا است و حجم تجارت آن با ایالات متحده از اتحادیه اروپا بیشتر نیست,0.22128776529156546,0.4878048780487805,0.5829015544041449,0.8425371646881104
صندوق بین‌المللی پول، قیمت دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است,صندوق بین‌المللی پول، قیمت دلار را بر اساس شاخص برابری قدرت خرید، ۱۴ هزار و ۷۰۰ تومان اعلام کرد.,0.5026147453550859,0.7222222222222223,0.8655845194306734,0.8936288952827454
جلیلی :شهید رئیسی چندین بار به آفریقا سفر کردند و گشایش اقتصادی ایجاد شده بود,صاحب‌قلم به ادعای شهید رئیسی در مناظره پاسخ داد: سفر شهید رئیسی به آفریقا و بهبود تراز تجاری,0.16261055653267345,0.35294117647058826,0.3717201166180758,0.7325114607810974
براساس پژوهش موسسه لاتانا، ایرانیان بدبین‌ترین مردم جهان نسبت به وجود دموکراسی درکشورشان هستند,ایران جزو کشورهایی است که کمترین میزان دموکراسی را در جهان دارند و مردم ایران تنها 25 درصد از دموکراسی را در کشورشان احساس می‌کنند.,0.02824446075980142,0.0975609756097561,0.09316770186335403,0.7033956050872803
انگلیس گلوله‌های اورانیوم به اوکراین ارسال کرده است,دولت انگلیس تأیید می‌کند که گلوله‌های اورانیوم را به اوکراین ارسال کرده است، با وجود نگرانی‌های سلامتی انسان‌ها,0.37484914926653995,0.56,0.8301839254220206,0.8451167345046997
کامالاهریس: هیچ سرباز آمریکایی در مناطق جنگی خارج از کشور خدمت نمی‌کند,کامالا هریس ادعا کرد که هیچ سرباز آمریکایی در مناطق جنگی خارج از کشور خدمت نمی‌کند، اما این ادعا نادرست ارزیابی می‌شود.,0.39488216783565583,0.5945945945945945,0.779848777914542,0.8385141491889954
دکتر علی لاریجانی گفته است به عرصه‌ی انتخابات مجلس شورای اسلامی ورود می‌کند,علی لاریجانی دفترش ادعای ورود به انتخابات مجلس را تکذیب کرد,0.2324556295400457,0.43478260869565216,0.4295051353874883,0.7950606346130371
برجام در گام اول ۵۰ تا ۱۰۰ میلیارد دلار پول بلوکه شده و کمپرسورهای لازم برای پارس جنوبی و پالایشگاه ستاره را آزاد کرد,برجام حدود ۳۰ تا ۵۶ میلیارد دلار از دارایی‌های بلوکه شده ایران را آزاد کرد.,0.08470967957461854,0.4210526315789474,0.31637105855855857,0.7933714985847473
مارک زاکربرگ، مدیرعامل فیسبوک، سال ۲۰۲۳ استعفا می‌دهد.,مدیرعامل فیسبوک، مارک زاکربرگ، استعفای خود در سال ۲۰۲۳ را تکذیب کرد و همچنان در سمت خود باقی خواهد ماند.,0.33612301510768927,0.3636363636363636,0.6336088154269973,0.8428484797477722
مقبره لطفعلی خان‌ زند به انبار فرش تبدیل شده است,مزار لطفعلی‌خان زند در امامزاده زید بازار تهران، به دلیل مرمت، بدون امکان ورود مردم است,0.14132052098159442,0.2222222222222222,0.15151515151515152,0.7926245331764221
آذری‌جهرمی به‌دلیل مقاوت در برابر فیلترینگ تحت تعقیب قضایی قرار گرفت,عضو هیئت مدیره اینستاگرام تحت تعقیب قضایی قرار گرفت به دلیل مقاومت در برابر فیلترینگ,0.42187520387392197,0.4,0.702433628318584,0.8356339335441589
سپیده شبستری: برابری دیه زن، مرد و مذاهب برای اولین بار توسط همتی در صنعت بیمه اجرا شد.,عبدلناصر همتی، رئیس سابق بیمه مرکزی، نقش مهمی در برابر شدن دیه زن و مرد در صنعت بیمه ایفا کرد,0.09576589017234884,0.2790697674418604,0.36334913112164297,0.7638476490974426
انتشار عمومی تصاویر اینستاگرام دختر نماینده مجلس، نقض حریم شخصی اوست,جریان تصاویر خصوصی فرزند جلیل رحیمی جهان‌آبادی: آیا اینستاگرام حق انتشار را دارد یا نه؟,0.04108053662461269,0.13793103448275862,0.12,0.7271642088890076
دانش‌آموزان موظف‌اند فایل صدای نماز خواندنشان را به مدرسه ارائه کنند,وزیر آموزش و پرورش، والدین دانش‌آموزان را برای نقش‌های نظارتی در مدارس معرفی می‌کند,0.04480836160121357,0.15384615384615383,0.08771929824561403,0.7304129004478455
مجری برنامه «سلام تهران» به خاطر اظهاراتش علیه وزیر نیرو توبیخ شد.,مدیر شبکه پنج سیما از توبیخ مجری برنامه «سلام تهران» برای اظهاراتی علیه وزیر نیرو خبر داد.,0.39609709429702605,0.5714285714285715,0.692615302585977,0.8737905025482178
مجهزترین کمپ کشتی جهان متعلق به ایران است و بسیاری از کشورها برای اردو به ایران می‌آیند,ادعای رئیس فدراسیون کشتی مبنی بر اینکه کمپ کشتی ایران یکی از بهترین کمپ‌های جهان است، با شواهد و مدرک ها مغایرت دارد.,0.031731768853938885,0.24390243902439027,0.2709558399631039,0.7007318139076233
جلیلی: معاون روحانی گفته بود به‌دلیل FATF نمی‌توانیم واکسن بخریم,تحریم‌های بین‌المللی و مشکلات FATF بر خرید واکسن کووید-۱۹ در ایران اثر گذاشته است.,0.04019656738893367,0.16,0.09523809523809526,0.66524338722229
پس از اعمال تعرفه‌های ترامپ ۵.۴ میلیارد دلار وارد بازار کریپتو شد، ۳.۲۵ تریلیون دلار از ارزش بازار سهام آمریکا کم شد,بورس آمریکا با زیان ۳.۲۵ تریلیون دلاری بزرگ‌ترین ضرر روزانه خود را از زمان همه‌گیری کووید۱۹ تجربه کرد.,0.20121583165465107,0.20408163265306123,0.2122641509433962,0.7302616238594055
